iShares S&P/TSX Canadian Dividend Aristocrats Index ETF
Inception Date,"Sep 8, 2006"
Fund Holdings as of,"Apr 12, 2018"
Total Net Assets ($000s),"-"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Country of Risk,Currency,Market Currency,FX Rate
"CJR.B","CORUS ENTERTAINMENT INC CLASS B","3.26","6.91","4,603,089.00","31,807,344.99","31,807,344.99","Consumer Discretionary","2484516","220874101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ENF","ENBRIDGE INCOME FUND HOLDINGS CLOS","2.88","27.56","1,019,471.00","28,096,620.76","28,096,620.76","Energy","B5PJ0N9","29251R105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"AD","ALARIS ROYALTY CORP","2.70","16.64","1,579,795.00","26,287,788.80","26,287,788.80","Financials","B95JCB9","01163Q400","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GEI","GIBSON ENERGY INC","2.62","16.94","1,507,451.00","25,536,219.94","25,536,219.94","Energy","B44WH97","374825206","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"ALA","ALTAGAS LTD","2.60","24.51","1,031,966.00","25,293,486.66","25,293,486.66","Energy","B43WJC5","021361100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"RNW","TRANSALTA RENEWABLES INC","2.56","11.56","2,154,977.00","24,911,534.12","24,911,534.12","Utilities","BCZLSL8","893463109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"IPL","INTER PIPELINE LTD","2.37","23.16","995,684.00","23,060,041.44","23,060,041.44","Energy","BDD54N3","45833V109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GS","GLUSKIN SHEFF ASSOCIATES INC","2.31","15.03","1,498,549.00","22,523,191.47","22,523,191.47","Financials","B15S1Y6","37989N106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"EIF","EXCHANGE INCOME CORP","2.21","30.78","699,890.00","21,542,614.20","21,542,614.20","Industrials","B3VHDS9","301283107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GRT.UN","GRANITE REAL ESTATE INVESTMENT STA","2.21","50.38","426,469.00","21,485,508.22","21,485,508.22","Real Estate","B9GS088","387437114","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"KEY","KEYERA CORP","1.85","34.84","516,998.00","18,012,210.32","18,012,210.32","Energy","B3SGMV5","493271100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CGX","CINEPLEX INC","1.83","30.81","578,835.00","17,833,906.35","17,833,906.35","Consumer Discretionary","B682FM6","172454100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"REF.UN","CANADIAN REAL ESTATE INVESTMENT UN","1.83","50.62","351,708.00","17,803,458.96","17,803,458.96","Real Estate","2173052","13650J104","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
