iShares S&P/TSX Composite High Dividend Index ETF
Inception Date,"Apr 12, 2011"
Fund Holdings as of,"Apr 12, 2018"
Total Net Assets ($000s),"506,669,181.85"
Shares Outstanding,"24,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Country of Risk,Currency,Market Currency,FX Rate
"ENB","ENBRIDGE INC","4.95","40.22","623,564.00","25,079,744.08","25,079,744.08","Energy","2466149","29250N105","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BMO","BANK OF MONTREAL","4.94","95.06","263,082.00","25,008,574.92","25,008,574.92","Financials","2076009","063671101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"PPL","PEMBINA PIPELINE CORP","4.87","39.62","622,202.00","24,651,643.24","24,651,643.24","Energy","B4PT2P8","706327103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BNS","BANK OF NOVA SCOTIA","4.86","76.85","320,274.00","24,613,056.90","24,613,056.90","Financials","2076281","064149107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"T","TELUS CORP","4.83","44.56","548,923.00","24,460,008.88","24,460,008.88","Telecommunications","2381093","87971M103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BCE","BCE INC","4.82","54.30","450,127.00","24,441,896.10","24,441,896.10","Telecommunications","B188TH2","05534B760","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"TRP","TRANSCANADA CORP","4.81","53.17","458,664.00","24,387,164.88","24,387,164.88","Energy","2665184","89353D107","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","4.76","110.63","218,075.00","24,125,637.25","24,125,637.25","Financials","2170525","136069101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"NA","NATIONAL BANK OF CANADA","4.56","59.24","389,995.00","23,103,303.80","23,103,303.80","Financials","2077303","633067103","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"BIP.UN","BROOKFIELD INFRASTRUCTURE PARTNERS","3.18","52.12","309,442.00","16,128,117.04","16,128,117.04","Utilities","B2NR6V4","-","Toronto Stock Exchange","Bermuda","CAD","CAD","1.00"
"IPL","INTER PIPELINE LTD","2.77","23.16","605,428.00","14,021,712.48","14,021,712.48","Energy","BDD54N3","45833V109","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"SJR.B","SHAW COMMUNICATIONS INC CLASS B","2.54","26.42","486,571.00","12,855,205.82","12,855,205.82","Consumer Discretionary","2801836","82028K200","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"POW","POWER CORPORATION OF CANADA","2.39","29.06","417,559.00","12,134,264.54","12,134,264.54","Financials","2697701","739239101","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"KEY","KEYERA CORP","2.24","34.84","325,943.00","11,355,854.12","11,355,854.12","Energy","B3SGMV5","493271100","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
"GWO","GREAT WEST LIFECO INC","2.05","32.89","315,883.00","10,389,391.87","10,389,391.87","Financials","2384951","39138C106","Toronto Stock Exchange","Canada","CAD","CAD","1.00"
